id,url,school_link,school_number,student_number,sex,div_point,div,grades,school_name,school_tats
"1548662067-1532","https://matokeo.necta.go.tz/csee/csee.htm","S3759 MUTUKA","https://matokeo.necta.go.tz/csee/results/s3759.htm","S3759/0001","F","28","IV","CIV - 'F'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'D'   PHY - 'F'   CHEM - 'D'   BIO - 'D'   B/MATH - 'F'","S3759 MUTUKA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 2;  DIV-III = 2;  DIV-IV = 15;  DIV-0 = 2"
"1548665635-2319","https://matokeo.necta.go.tz/csee/csee.htm","S2946 MSALE","https://matokeo.necta.go.tz/csee/results/s2946.htm","S2946/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'F'   KISW - 'D'   ENGL - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","S2946 MSALE SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 1;  DIV-III = 4;  DIV-IV = 24;  DIV-0 = 4"
"1548673443-4107","https://matokeo.necta.go.tz/csee/csee.htm","S1038 J.K. NYERERE","https://matokeo.necta.go.tz/csee/results/s1038.htm","S1038/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   PHY - 'X'   BIO - 'F'   B/MATH - 'F'","S1038 J.K. NYERERE SECONDARY SCHOOL","DIV-I = 2;  DIV-II = 13;  DIV-III = 32;  DIV-IV = 135;  DIV-0 = 57"
"1548668303-2917","https://matokeo.necta.go.tz/csee/csee.htm","S2319 BONGA","https://matokeo.necta.go.tz/csee/results/s2319.htm","S2319/0001","F","29","IV","CIV - 'F'   HIST - 'F'   GEO - 'D'   KISW - 'C'   ENGL - 'D'   LIT ENG - 'D'   CHEM - 'F'   BIO - 'D'   B/MATH - 'F'","S2319 BONGA SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 6;  DIV-III = 14;  DIV-IV = 39;  DIV-0 = 17"
"1548663606-1870","https://matokeo.necta.go.tz/csee/csee.htm","S3401 NKAITI","https://matokeo.necta.go.tz/csee/results/s3401.htm","S3401/0001","F","29","IV","CIV - 'F'   HIST - 'F'   GEO - 'D'   KISW - 'C'   ENGL - 'D'   BIO - 'D'   AGRI - 'D'   B/MATH - 'F'","S3401 NKAITI SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 8;  DIV-III = 12;  DIV-IV = 55;  DIV-0 = 16"
"1548678528-5396","https://matokeo.necta.go.tz/csee/csee.htm","P1436 GEORGE KONGOWE  CENTRE","https://matokeo.necta.go.tz/csee/results/p1436.htm","P1436/0001","F","-","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'C'   ENGL - 'D'","P1436 GEORGE KONGOWE SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 2;  DIV-III = 8;  DIV-IV = 20;  DIV-0 = 8"
"1548656711-184","https://matokeo.necta.go.tz/csee/csee.htm","S5285 DOKAMAN","https://matokeo.necta.go.tz/csee/results/s5285.htm","S5285/0001","F","26","IV","CIV - 'D'   HIST - 'C'   GEO - 'D'   KISW - 'C'   ENGL - 'D'   LIT ENG - 'D'   PHY - 'F'   CHEM - 'F'   BIO - 'D'   B/MATH - 'F'","S5285 DOKAMAN SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 4;  DIV-III = 27;  DIV-IV = 28;  DIV-0 = 0"
"1548662985-1733","https://matokeo.necta.go.tz/csee/csee.htm","S3540 KITOPE","https://matokeo.necta.go.tz/csee/results/s3540.htm","S3540/0001","F","32","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'D'   KISW - 'D'   ENGL - 'F'   ARABIC LANGUAGE - 'D'   BIO - 'F'   B/MATH - 'F'","S3540 KITOPE SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 7;  DIV-IV = 68;  DIV-0 = 26"
"1548667481-2733","https://matokeo.necta.go.tz/csee/csee.htm","S2519 SWAYA","https://matokeo.necta.go.tz/csee/results/s2519.htm","S2519/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'   COMM - 'F'   B/KEEPING - 'F'","S2519 SWAYA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 3;  DIV-III = 3;  DIV-IV = 51;  DIV-0 = 17"
"1548672803-3966","https://matokeo.necta.go.tz/csee/csee.htm","S1194 BISMARCK","https://matokeo.necta.go.tz/csee/results/s1194.htm","S1194/0001","F","18","II","CIV - 'C'   HIST - 'C'   GEO - 'C'   E/D/KIISLAMU - 'C'   KISW - 'B'   ENGL - 'B'   PHY - 'D'   CHEM - 'D'   BIO - 'B'   B/MATH - 'D'","S1194 BISMARCK SECONDARY SCHOOL","DIV-I = 6;  DIV-II = 15;  DIV-III = 31;  DIV-IV = 9;  DIV-0 = 0"
"1548657642-394","https://matokeo.necta.go.tz/csee/csee.htm","S5039 MAKANJIRO","https://matokeo.necta.go.tz/csee/results/s5039.htm","S5039/0001","F","31","IV","CIV - 'F'   HIST - 'F'   GEO - 'D'   KISW - 'C'   ENGL - 'F'   CHEM - 'F'   BIO - 'D'   B/MATH - 'F'","S5039 MAKANJIRO SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 1;  DIV-III = 1;  DIV-IV = 10;  DIV-0 = 1"
"1548673389-4096","https://matokeo.necta.go.tz/csee/csee.htm","S1052 IBUNGILA","https://matokeo.necta.go.tz/csee/results/s1052.htm","S1052/0001","F","27","IV","CIV - 'D'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'C'   LIT ENG - 'D'   BIO - 'F'   B/MATH - 'F'","S1052 IBUNGILA SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 32;  DIV-III = 53;  DIV-IV = 63;  DIV-0 = 11"
"1548657007-260","https://matokeo.necta.go.tz/csee/csee.htm","S5196 GREEN CITY","https://matokeo.necta.go.tz/csee/results/s5196.htm","S5196/0001","F","28","IV","CIV - 'D'   HIST - 'F'   GEO - 'D'   KISW - 'C'   ENGL - 'D'   BIO - 'D'   B/MATH - 'F'   COMM - 'F'   B/KEEPING - 'D'","S5196 GREEN CITY SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 5;  DIV-III = 16;  DIV-IV = 66;  DIV-0 = 14"
"1548679046-5609","https://matokeo.necta.go.tz/csee/csee.htm","P0863 MWADUI TECHNICAL  CENTRE","https://matokeo.necta.go.tz/csee/results/p0863.htm","P0863/0001","F","-","0","HIST - 'F'   KISW - 'D'   ENGL - 'F'   CHEM - 'F'   BIO - 'F'","P0863 MWADUI TECHNICAL SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 1;  DIV-III = 6;  DIV-IV = 13;  DIV-0 = 3"
"1548664368-2043","https://matokeo.necta.go.tz/csee/csee.htm","S3226 NZASA","https://matokeo.necta.go.tz/csee/results/s3226.htm","S3226/0001","F","31","IV","CIV - 'D'   HIST - 'F'   GEO - 'F'   KISW - 'C'   ENGL - 'D'   BIO - 'F'   B/MATH - 'F'","S3226 NZASA SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 14;  DIV-III = 38;  DIV-IV = 161;  DIV-0 = 78"
"1548668912-3058","https://matokeo.necta.go.tz/csee/csee.htm","S2174 NKOMA DAY","https://matokeo.necta.go.tz/csee/results/s2174.htm","S2174/0001","F","32","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'C'   ENGL - 'F'   BIO - 'D'   B/MATH - 'F'","S2174 NKOMA DAY SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 12;  DIV-III = 9;  DIV-IV = 26;  DIV-0 = 12"
"1548663472-1838","https://matokeo.necta.go.tz/csee/csee.htm","S3433 MNYAWI","https://matokeo.necta.go.tz/csee/results/s3433.htm","S3433/0001","F","33","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'C'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S3433 MNYAWI SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 3;  DIV-III = 5;  DIV-IV = 38;  DIV-0 = 18"
"1548672579-3912","https://matokeo.necta.go.tz/csee/csee.htm","S1256 TEDEO","https://matokeo.necta.go.tz/csee/results/s1256.htm","S1256/0001","F","-","ABS","CIV - 'X'   HIST - 'X'   GEO - 'X'   E/D/KIISLAMU - 'X'   KISW - 'X'   ENGL - 'X'   ARABIC LANGUAGE - 'X'   BIO - 'X'   B/MATH - 'X'","S1256 TEDEO SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 1;  DIV-III = 21;  DIV-IV = 65;  DIV-0 = 15"
"1548672248-3843","https://matokeo.necta.go.tz/csee/csee.htm","S1331 IKUNA","https://matokeo.necta.go.tz/csee/results/s1331.htm","S1331/0001","F","31","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'C'   ENGL - 'D'   LIT ENG - 'F'   BIO - 'F'   B/MATH - 'D'","S1331 IKUNA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 2;  DIV-III = 5;  DIV-IV = 42;  DIV-0 = 21"
"1548674360-4299","https://matokeo.necta.go.tz/csee/csee.htm","S0820 MKUZI","https://matokeo.necta.go.tz/csee/results/s0820.htm","S0820/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'   COMM - 'F'   B/KEEPING - 'F'","S0820 MKUZI SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 3;  DIV-IV = 26;  DIV-0 = 27"
"1548671202-3595","https://matokeo.necta.go.tz/csee/csee.htm","S1607 KUMGOGO","https://matokeo.necta.go.tz/csee/results/s1607.htm","S1607/0001","F","27","IV","CIV - 'D'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'C'   PHY - 'F'   CHEM - 'F'   BIO - 'D'   B/MATH - 'F'","S1607 KUMGOGO SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 3;  DIV-III = 12;  DIV-IV = 35;  DIV-0 = 5"
"1548664047-1977","https://matokeo.necta.go.tz/csee/csee.htm","S3293 BWANJAI","https://matokeo.necta.go.tz/csee/results/s3293.htm","S3293/0001","F","33","IV","CIV - 'D'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   LIT ENG - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","S3293 BWANJAI SECONDARY SCHOOL","DIV-I = 2;  DIV-II = 4;  DIV-III = 4;  DIV-IV = 42;  DIV-0 = 39"
"1548661155-1213","https://matokeo.necta.go.tz/csee/csee.htm","S4099 MKOLYE","https://matokeo.necta.go.tz/csee/results/s4099.htm","S4099/0001","F","30","IV","CIV - 'F'   HIST - 'F'   GEO - 'D'   KISW - 'C'   ENGL - 'D'   LIT ENG - 'F'   BIO - 'D'   B/MATH - 'F'","S4099 MKOLYE SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 2;  DIV-III = 8;  DIV-IV = 10;  DIV-0 = 1"
"1548664885-2148","https://matokeo.necta.go.tz/csee/csee.htm","S3120 NANDETE","https://matokeo.necta.go.tz/csee/results/s3120.htm","S3120/0001","F","33","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'D'   BIO - 'F'   B/MATH - 'F'","S3120 NANDETE SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 5;  DIV-IV = 16;  DIV-0 = 6"
"1548662047-1529","https://matokeo.necta.go.tz/csee/csee.htm","S3762 USISYA","https://matokeo.necta.go.tz/csee/results/s3762.htm","S3762/0001","F","32","IV","CIV - 'F'   HIST - 'F'   GEO - 'D'   KISW - 'C'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S3762 USISYA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 4;  DIV-III = 7;  DIV-IV = 24;  DIV-0 = 5"
"1548673804-4183","https://matokeo.necta.go.tz/csee/csee.htm","S0949 IRKISONGO","https://matokeo.necta.go.tz/csee/results/s0949.htm","S0949/0001","F","33","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'   FOOD - 'D'","S0949 IRKISONGO SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 9;  DIV-III = 49;  DIV-IV = 70;  DIV-0 = 10"
"1548659912-877","https://matokeo.necta.go.tz/csee/csee.htm","S4478 MADUMA","https://matokeo.necta.go.tz/csee/results/s4478.htm","S4478/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   PHY - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","S4478 MADUMA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 5;  DIV-IV = 36;  DIV-0 = 18"
"1548670191-3365","https://matokeo.necta.go.tz/csee/csee.htm","S1850 KINGERIKITI","https://matokeo.necta.go.tz/csee/results/s1850.htm","S1850/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   PHY - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","S1850 KINGERIKITI SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 6;  DIV-III = 13;  DIV-IV = 45;  DIV-0 = 18"
"1548666325-2478","https://matokeo.necta.go.tz/csee/csee.htm","S2785 NYANGUGE","https://matokeo.necta.go.tz/csee/results/s2785.htm","S2785/0001","F","32","IV","CIV - 'D'   HIST - 'F'   GEO - 'F'   KISW - 'C'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S2785 NYANGUGE SECONDARY SCHOOL","DIV-I = 6;  DIV-II = 17;  DIV-III = 25;  DIV-IV = 71;  DIV-0 = 12"
"1548662869-1711","https://matokeo.necta.go.tz/csee/csee.htm","S3562 MANUSHI","https://matokeo.necta.go.tz/csee/results/s3562.htm","S3562/0001","F","28","IV","CIV - 'D'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'D'   CHEM - 'F'   BIO - 'D'   B/MATH - 'F'","S3562 MANUSHI SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 9;  DIV-IV = 31;  DIV-0 = 45"
"1548664897-2151","https://matokeo.necta.go.tz/csee/csee.htm","S3116 MBUYUNI","https://matokeo.necta.go.tz/csee/results/s3116.htm","S3116/0001","F","33","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'C'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S3116 MBUYUNI SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 3;  DIV-IV = 30;  DIV-0 = 2"
"1548660943-1129","https://matokeo.necta.go.tz/csee/csee.htm","S4188 KIMAHA","https://matokeo.necta.go.tz/csee/results/s4188.htm","S4188/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S4188 KIMAHA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 1;  DIV-IV = 9;  DIV-0 = 10"
"1548671818-3743","https://matokeo.necta.go.tz/csee/csee.htm","S1449 EDEN GARDEN","https://matokeo.necta.go.tz/csee/results/s1449.htm","S1449/0001","F","21","II","CIV - 'C'   HIST - 'C'   GEO - 'C'   KISW - 'C'   ENGL - 'B'   PHY - 'D'   CHEM - 'D'   BIO - 'C'   B/MATH - 'D'","S1449 EDEN GARDEN SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 18;  DIV-III = 14;  DIV-IV = 14;  DIV-0 = 1"
"1548675258-4479","https://matokeo.necta.go.tz/csee/csee.htm","S0615 KIRANGARE","https://matokeo.necta.go.tz/csee/results/s0615.htm","S0615/0001","F","29","IV","CIV - 'D'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'F'   PHY - 'F'   CHEM - 'F'   BIO - 'D'   B/MATH - 'F'","S0615 KIRANGARE SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 4;  DIV-III = 14;  DIV-IV = 55;  DIV-0 = 14"
"1548679159-5658","https://matokeo.necta.go.tz/csee/csee.htm","P0744 NANGA  CENTRE","https://matokeo.necta.go.tz/csee/results/p0744.htm","P0744/0001","F","-","0","CIV - 'F'   HIST - 'D'   GEO - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","P0744 NANGA SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 0;  DIV-IV = 3;  DIV-0 = 2"
"1548676955-4838","https://matokeo.necta.go.tz/csee/csee.htm","S0155 TABORA BOYS","https://matokeo.necta.go.tz/csee/results/s0155.htm","S0155/0001","M","17","I","CIV - 'C'   HIST - 'C'   GEO - 'C'   KISW - 'A'   ENGL - 'B'   PHY - 'C'   CHEM - 'C'   BIO - 'B'   B/MATH - 'C'","S0155 TABORA BOYS SECONDARY SCHOOL","DIV-I = 41;  DIV-II = 36;  DIV-III = 9;  DIV-IV = 1;  DIV-0 = 0"
"1548665897-2376","https://matokeo.necta.go.tz/csee/csee.htm","S2889 MWANAKYANGA","https://matokeo.necta.go.tz/csee/results/s2889.htm","S2889/0001","F","30","IV","CIV - 'F'   HIST - 'F'   GEO - 'D'   KISW - 'C'   ENGL - 'D'   PHY - 'F'   CHEM - 'F'   BIO - 'D'   B/MATH - 'F'","S2889 MWANAKYANGA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 4;  DIV-III = 10;  DIV-IV = 37;  DIV-0 = 31"
"1548671915-3766","https://matokeo.necta.go.tz/csee/csee.htm","S1421 MAKONG'ONDA","https://matokeo.necta.go.tz/csee/results/s1421.htm","S1421/0001","F","31","IV","CIV - 'F'   HIST - 'F'   GEO - 'D'   E/D/KIISLAMU - 'D'   KISW - 'C'   ENGL - 'F'   PHY - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","S1421 MAKONG'ONDA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 1;  DIV-III = 6;  DIV-IV = 45;  DIV-0 = 54"
"1548673887-4201","https://matokeo.necta.go.tz/csee/csee.htm","S0927 LANGASANI","https://matokeo.necta.go.tz/csee/results/s0927.htm","S0927/0001","F","22","III","CIV - 'D'   HIST - 'C'   GEO - 'C'   KISW - 'B'   ENGL - 'C'   LIT ENG - 'F'   PHY - 'F'   CHEM - 'D'   BIO - 'C'   B/MATH - 'D'","S0927 LANGASANI SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 21;  DIV-III = 47;  DIV-IV = 102;  DIV-0 = 52"
"1548671302-3619","https://matokeo.necta.go.tz/csee/csee.htm","S1579 SEGERA","https://matokeo.necta.go.tz/csee/results/s1579.htm","S1579/0001","F","25","III","CIV - 'D'   HIST - 'C'   GEO - 'D'   KISW - 'C'   ENGL - 'C'   CHEM - 'D'   BIO - 'D'   B/MATH - 'F'","S1579 SEGERA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 6;  DIV-III = 29;  DIV-IV = 93;  DIV-0 = 21"
"1548677334-4937","https://matokeo.necta.go.tz/csee/csee.htm","P5101 TANZANIA AVIATION UNIVERSITY CENTRE","https://matokeo.necta.go.tz/csee/results/p5101.htm","P5101/0001","F","-","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   LIT ENG - 'F'","P5101 TANZANIA AVIATION UNIVERSITY CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 0;  DIV-IV = 13;  DIV-0 = 20"
"1548657384-340","https://matokeo.necta.go.tz/csee/csee.htm","S5099 OLYMPUS","https://matokeo.necta.go.tz/csee/results/s5099.htm","S5099/0001","F","21","II","CIV - 'C'   HIST - 'C'   GEO - 'C'   B/KNOWL - 'C'   KISW - 'C'   ENGL - 'C'   PHY - 'D'   CHEM - 'C'   BIO - 'C'   B/MATH - 'D'","S5099 OLYMPUS SECONDARY SCHOOL","DIV-I = 5;  DIV-II = 16;  DIV-III = 6;  DIV-IV = 6;  DIV-0 = 1"
"1548667264-2681","https://matokeo.necta.go.tz/csee/csee.htm","S2577 MIGURUWE","https://matokeo.necta.go.tz/csee/results/s2577.htm","S2577/0001","F","33","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   CHEM - 'F'   BIO - 'D'   B/MATH - 'F'","S2577 MIGURUWE SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 0;  DIV-IV = 9;  DIV-0 = 2"
"1548658031-471","https://matokeo.necta.go.tz/csee/csee.htm","S4956 MAGULUKENDA","https://matokeo.necta.go.tz/csee/results/s4956.htm","S4956/0001","F","22","III","CIV - 'D'   HIST - 'D'   GEO - 'C'   KISW - 'B'   ENGL - 'C'   PHY - 'D'   CHEM - 'C'   BIO - 'C'   B/MATH - 'D'","S4956 MAGULUKENDA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 0;  DIV-III = 9;  DIV-IV = 30;  DIV-0 = 12"
"1548674114-4250","https://matokeo.necta.go.tz/csee/csee.htm","S0872 NDUNGU","https://matokeo.necta.go.tz/csee/results/s0872.htm","S0872/0001","F","25","III","CIV - 'D'   HIST - 'D'   GEO - 'D'   E/D/KIISLAMU - 'D'   KISW - 'D'   ENGL - 'C'   PHY - 'D'   CHEM - 'C'   BIO - 'C'   B/MATH - 'D'","S0872 NDUNGU SECONDARY SCHOOL","DIV-I = 2;  DIV-II = 9;  DIV-III = 15;  DIV-IV = 58;  DIV-0 = 30"
"1548658361-538","https://matokeo.necta.go.tz/csee/csee.htm","S4881 IZYIRA","https://matokeo.necta.go.tz/csee/results/s4881.htm","S4881/0001","F","27","IV","CIV - 'D'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'C'   BIO - 'D'   B/MATH - 'F'","S4881 IZYIRA SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 4;  DIV-III = 6;  DIV-IV = 25;  DIV-0 = 4"
"1548663375-1813","https://matokeo.necta.go.tz/csee/csee.htm","S3458 LIZABONI","https://matokeo.necta.go.tz/csee/results/s3458.htm","S3458/0001","F","20","II","CIV - 'C'   HIST - 'C'   GEO - 'C'   KISW - 'B'   ENGL - 'C'   LIT ENG - 'C'   PHY - 'F'   CHEM - 'D'   BIO - 'C'   B/MATH - 'D'","S3458 LIZABONI SECONDARY SCHOOL","DIV-I = 2;  DIV-II = 9;  DIV-III = 19;  DIV-IV = 80;  DIV-0 = 29"
"1548672064-3800","https://matokeo.necta.go.tz/csee/csee.htm","S1383 MZINGA","https://matokeo.necta.go.tz/csee/results/s1383.htm","S1383/0001","F","29","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'C'   ENGL - 'C'   BIO - 'D'   B/MATH - 'D'","S1383 MZINGA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 10;  DIV-III = 19;  DIV-IV = 30;  DIV-0 = 1"
"1548677345-4941","https://matokeo.necta.go.tz/csee/csee.htm","P5053 SANTAKAGWA  CENTRE","https://matokeo.necta.go.tz/csee/results/p5053.htm","P5053/0001","F","28","IV","CIV - 'D'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'C'   LIT ENG - 'F'   PHY - 'X'   CHEM - 'X'   BIO - 'F'   B/MATH - 'F'","P5053 SANTAKAGWA SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 0;  DIV-III = 2;  DIV-IV = 26;  DIV-0 = 4"
"1548664064-1982","https://matokeo.necta.go.tz/csee/csee.htm","S3288 BUZILASOGA","https://matokeo.necta.go.tz/csee/results/s3288.htm","S3288/0001","F","34","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'D'   ENGL - 'F'   BIO - 'F'   B/MATH - 'F'","S3288 BUZILASOGA SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 6;  DIV-III = 17;  DIV-IV = 35;  DIV-0 = 17"
"1548672743-3951","https://matokeo.necta.go.tz/csee/csee.htm","S1211 KATESH","https://matokeo.necta.go.tz/csee/results/s1211.htm","S1211/0001","F","18","II","CIV - 'C'   HIST - 'C'   GEO - 'C'   KISW - 'B'   ENGL - 'B'   PHY - 'D'   CHEM - 'C'   BIO - 'B'   AGRI - 'F'   B/MATH - 'D'","S1211 KATESH SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 16;  DIV-III = 34;  DIV-IV = 44;  DIV-0 = 4"
"1548669166-3127","https://matokeo.necta.go.tz/csee/csee.htm","S2104 BUPIGU","https://matokeo.necta.go.tz/csee/results/s2104.htm","S2104/0001","F","35","0","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'F'   ENGL - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","S2104 BUPIGU SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 2;  DIV-III = 5;  DIV-IV = 16;  DIV-0 = 4"
"1548659084-707","https://matokeo.necta.go.tz/csee/csee.htm","S4693 MBALAWALA","https://matokeo.necta.go.tz/csee/results/s4693.htm","S4693/0001","F","33","IV","CIV - 'F'   HIST - 'F'   GEO - 'F'   KISW - 'C'   ENGL - 'F'   PHY - 'F'   CHEM - 'F'   BIO - 'F'   B/MATH - 'F'","S4693 MBALAWALA SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 3;  DIV-III = 1;  DIV-IV = 6;  DIV-0 = 6"
"1548675786-4581","https://matokeo.necta.go.tz/csee/csee.htm","S0495 MILALA","https://matokeo.necta.go.tz/csee/results/s0495.htm","S0495/0001","F","-","ABS","CIV - 'X'   HIST - 'X'   GEO - 'X'   KISW - 'X'   ENGL - 'X'   LIT ENG - 'X'   BIO - 'X'   B/MATH - 'X'","S0495 MILALA SECONDARY SCHOOL","DIV-I = 1;  DIV-II = 13;  DIV-III = 11;  DIV-IV = 16;  DIV-0 = 3"
"1548667620-2764","https://matokeo.necta.go.tz/csee/csee.htm","S2482 LOO","https://matokeo.necta.go.tz/csee/results/s2482.htm","S2482/0001","F","29","IV","CIV - 'D'   HIST - 'F'   GEO - 'F'   E/D/KIISLAMU - 'C'   KISW - 'C'   ENGL - 'D'   LIT ENG - 'F'   BIO - 'F'   B/MATH - 'F'","S2482 LOO  SECONDARY SCHOOL","DIV-I = 0;  DIV-II = 1;  DIV-III = 6;  DIV-IV = 10;  DIV-0 = 0"
"1548679271-5704","https://matokeo.necta.go.tz/csee/csee.htm","P0653 MWAKAVUTA  CENTRE","https://matokeo.necta.go.tz/csee/results/p0653.htm","P0653/0001","F","-","IV","CIV - 'D'   HIST - 'D'   GEO - 'D'   ENGL - 'C'   LIT ENG - 'F'   BIO - 'D'","P0653 MWAKAVUTA SECONDARY SCHOOL CENTRE","DIV-I = 0;  DIV-II = 1;  DIV-III = 7;  DIV-IV = 19;  DIV-0 = 3"
"1548674910-4412","https://matokeo.necta.go.tz/csee/csee.htm","S0693 MANYARA","https://matokeo.necta.go.tz/csee/results/s0693.htm","S0693/0001","F","25","III","CIV - 'C'   HIST - 'D'   GEO - 'D'   KISW - 'C'   ENGL - 'C'   PHY - 'F'   CHEM - 'D'   BIO - 'D'   B/MATH - 'F'","S0693 MANYARA SECONDARY SCHOOL","DIV-I = 2;  DIV-II = 8;  DIV-III = 29;  DIV-IV = 87;  DIV-0 = 15"
